"公司代號","公司名稱","公司簡稱","產業類別","外國企業註冊地國","住址","營利事業統一編號","董事長","總經理","發言人","發言人職稱","代理發言人","總機電話","成立日期","興櫃日期","普通股每股面額","實收資本額(元)","已發行普通股數或TDR原發行股數","私募普通股(股)","特別股(股)","編製財務報告類型","普通股盈餘分派或虧損撥補頻率","普通股年度(含第4季或後半年度)現金股息及紅利決議層級","股票過戶機構","過戶電話","過戶地址","簽證會計師事務所","簽證會計師1","簽證會計師2","英文簡稱","英文通訊地址","傳真機號碼","電子郵件信箱","公司網址","投資人關係聯絡人","投資人關係聯絡人職稱","投資人關係聯絡電話","投資人關係聯絡電子郵件","公司網站內利害關係人專區網址","公司網站內公司治理資訊專區網址"
"2237","華德動能科技股份有限公司","華德動能","電機機械","－","桃園市大園區五青路291巷33號","	27579308","蔡裕慶","蔡裕慶","楊誌榮","總經理(桃園廠)","趙愷琪","03-381-1863","2005/04/07","2014/12/23",新台幣                 10.0000元,1217929010,121792901,0,0,合併,每年,股東會,"群益金鼎證券股份有限公司","02-2703-5000","台北市大安區敦化南路二段97號地下2樓","資誠聯合會計師事務所","劉美蘭","賴志維","RAC","No. 33, Lane 291, Wuqing Road, Dayuan DistrictTaoyuan City, Taiwan","03-381-7863","contact@racev.com","www.racev.com","－","－","－","－","www.racev.com","－"
"2245","詠勝昌股份有限公司","詠勝昌*","電機機械","－","台南市仁德區中正路三段209號","	16696080","吳書杰","吳明星","吳明星","總經理","林姿君","(06)2702277","1998/11/13","2016/12/15",新台幣                  5.0000元,162000000,32400000,0,0,合併,每年,董事會,"第一金證券(股)公司股務代理部","(02)25635711","台北市大安區安和路一段27號6樓","勤業眾信聯合會計師事務所","張青霞","王浚宇","NWW","No. 209, Sec. 3, Jhongjheng Rd., Rende Dist., Tainan City 717, Taiwan (R.O.C.)Tainan City 717, Taiwan (R.O.C.)","(06)2709912","ir@nwwmfg.com.tw","www.nwwmfg.com.tw","－","－","－","－","http://www.nwwmfg.com.tw/tw/§Q?`???Y?H.html","－"
"2249","湧盛電機股份有限公司","湧盛","電機機械","－","高雄市前鎮區中四路6號3樓","	70849653","林麗玉","萬芸榮","方宗琦","管理部協理","江春枝","07-8228183","2008/08/25","2019/12/19",新台幣                 10.0000元,255379000,25537900,0,0,合併,每年,董事會,"凱基證券股份有限公司股務代理部","02-23892999","10044 台北市重慶南路1段2號5樓","安侯建業聯合會計師事務所","許振隆","陳永祥","YOUNG SHINE","3F., No.6, Central 4th Rd., Cianjhen Dist.Kaohsiung City,Taiwan(R.O.C.)","07-8228178","invest@young-shine.com.tw","https://www.young-shine.com.tw/","－","－","－","－","https://www.young-shine.com.tw/","－"
"2252","為昇科科技股份有限公司","為昇科","其他電子業","－","新竹縣竹北市台元街38號6樓之7","	45127518","黃淑媛","洪元通","洪元通","執行長兼總經理","蔡青翰","(03)560-0289","2016/07/22","2021/08/23",新台幣                 10.0000元,1066175000,106617500,0,0,合併,每年,股東會,"第一金證券股份有限公司","(02)2563-5711","台北市大安區安和路一段27號六樓","安侯建業聯合會計師事務所","張字信","陳燕慧","CUBTEK","m.7, 6F., No.38, Taiyuan St.,Zhubei City, Hsinchu County Taiwan","(03)560-0291","investor@cubtek.com","https://www.cubtek.com/","－","－","－","－","https://www.cubtek.com/","－"
"2255","凱銳光電股份有限公司","凱銳光電","其他電子業","－","臺北市內湖區陽光街300號7樓之2","	27420770","林傳凱","林傳凱","林傳凱","董事長","蔡仁晃","(02)5582-1818","2004/08/11","2021/11/30",新台幣                 10.0000元,609325000,60932500,0,0,合併,每年,股東會,"台新證券股務代理部","02-25048125","臺北市中山區建國北路一段96號B1","安侯建業聯合會計師事務所","黃柏淑","吳仲舜","JET","7F.-2, No. 300, Yangguang St., Neihu Dist.Taipei City 114 , Taiwan (R.O.C.)","02-5582-0098","IR@jet-opto.com.tw","https://www.jet-opto.com.tw","－","－","－","－","https://www.jet-opto.com.tw","－"
"2256","歐特明電子股份有限公司","歐特明","其他電子業","－","新竹科學園區新竹市科研路8號9樓之2","	54101167","吳錫慶","吳錫慶","廖健武","財務處長","莊煜芳","03-6667968","2012/12/12","2021/12/08",新台幣                 10.0000元,390444000,39044400,0,0,合併,每年,董事會,"中國信託商業銀 代理部","(02)6636-5566","臺北市中正區重慶南路一段83號5樓","資誠聯合會計師事務所","蔣承翰","白淑蒨","oToBrite","9 F.-2, No. 8, Keyan Rd., East Dist.,Hsinchu City 300192, Taiwan (R.O.C.)","03-6667186","sales@otobrite.com","https://www.otobrite.com/","－","－","－","－","https://www.otobrite.com/","－"
"2644","中信造船股份有限公司","中信造船","航運業","－","高雄市旗津區中洲三路108巷92號","	82050180","韓碧祥","韓育霖","韓育霖","總經理","黃逢徵","07-5719000","1973/12/22","2022/10/11",新台幣                 10.0000元,829516960,82951696,0,0,合併,每半會計年度,董事會,"兆豐證券股份有限公司","(02)33930898","台北市中正區忠孝東路二段95 號1樓","勤業眾信聯合會計師事務所","王騰葦","許凱甯","JSSC","No. 92, Ln. 108, Zhongzhou 3rd Rd. Qijin Dist.,Kaohsiung City 805301 , Taiwan (R.O.C.)","07-5718671","jongshyn@jssc.com.tw","https://www.jongshyn.com/","－","－","－","－","https://www.jongshyn.com/social.asp?id=50","－"
"2733","維格餅家股份有限公司","維格餅家","觀光餐旅","－","新北市五股區成泰路一段87之1號(6樓)","	80490319","余佩佩","余佩佩","李欣倫","行政管理處協理","李文賀協理","02-2291-9122","2003/06/26","2012/12/24",新台幣                 10.0000元,245984000,24598400,0,0,合併,每年,股東會,"元富證券股務代理部","02-2768-6668","臺北市松山區光復北路11巷35號B1","資誠聯合會計師事務所","林柏全","王菘澤","Vigor Kobo","6F., No. 87-1, Sec. 1, Chengtai Rd.,Wugu Dist., New Taipei City 248, Taiwan","02-2291-9179","service@vigorkobo.com","https://www.vigorkobo.com/","－","－","－","－","https://www.vigorkobo.com/investors/company","－"
"2741","人杰老四川餐飲管理顧問(股)公司","老四川","觀光餐旅","－","高雄市左營區文學路597號","	28836494","陳淑萍","陳淑萍","陳淑萍","總經理","許麗君","07-3416222","2007/12/28","2014/10/28",新台幣                 10.0000元,225882810,22588281,0,0,個別,每年,董事會,"凱基證券股份有限公司股務代理部","02-23892999","台北市重慶南路一段2號5樓","勤業眾信聯合會計師事務所","陳珍麗","許凱甯","Oldsichuan","No.597, Wenxue Rd., Zuoying Dist.,Kaohsiung City 813, Taiwan (R.O.C.)","07-3500222","@oldsichuan.com.tw","http://www.oldsichuan.com.tw","－","－","－","－","http://www.oldsichuan.com.tw/investor01.aspx","－"
"2758","路易莎職人咖啡股份有限公司","路易莎咖啡","觀光餐旅","－","新北市新莊區建國一路55號","	54857699","驊穎有限公司","黃銘賢","盧贊宇","財會處資深協理","黃佳雯","02-8978-1628","2015/07/22","2021/09/17",新台幣                 10.0000元,204861210,20486121,0,0,合併,每半會計年度,董事會,"台新證券股務代理部","02-2504-8125","台北市中山區建國北路一段96號地下一樓","安侯建業聯合會計師事務所","江曉苓","吳趙仁","LOUISA COFFEE","No. 55, Jianguo 1st Rd.,Xinzhuang Dist., NewTaipei City 242,","02-2901-0608","investor@louisacoffee.com.tw","https://www.louisacoffee.co/","－","－","－","－","https://www.louisacoffee.co/","－"
"2760","巨宇翔股份有限公司","巨宇翔","觀光餐旅","－","台中市西屯區惠中路一段88號21樓之2","	82766468","許維翔","許維翔","張愷烓","財務長","黃郁芬","(04)22530011","2018/10/05","2022/12/26",新台幣                 10.0000元,130000000,13000000,0,0,合併,每半會計年度,董事會,"兆豐證券股份有限公司股務代理部","(02)23278988","台北市中正區忠孝東路二段95號1樓","勤業眾信聯合會計師事務所","蔡宗遠","郭乃華","CYH","21F-2,NO.88,SEC.1.HUIZHONG RD.,XITUN DISTTAICHUNG CITY 407,TAIWAN","(04)22532200","linda20170901@dingtea.com","https://www.dingtea.com/","－","－","－","－","https://www.dingtea.com/","－"
"2761","橘焱胡同國際股份有限公司","橘焱胡同","觀光餐旅","－","新北市新店區中正路四維巷2弄5號2樓","	53352952","吳念忠","楊哲瑋","楊哲瑋","總經理","張文婷","(02)2218-9868","2011/06/28","2022/04/13",新台幣                 10.0000元,173366260,17336626,0,0,合併,每年,董事會,"台新綜合證券股務代理部","(02)2504-8125","台北市中山區建國北路一段96號B1樓","安侯建業聯合會計師事務所","唐嘉鍵","黃明宏","GYEN HUTONG","2F., No. 5, Aly. 2, Siwei Ln., Zhongzheng Rd., Xindian Dist.New Taipei City 231 , Taiwan(R.O.C.)","(02)2218-9768","IR@gyen.com.tw","https://gyen.com.tw","－","－","－","－","https://gyen.com.tw","－"
"2938","床的世界股份有限公司","床的世界","居家生活","－","台北市內湖區舊宗路一段88號","	80646713","尚待選任","陳三傑","牟迪","財務長","許文誠","02-66266688","2004/02/09","2016/10/05",新台幣                 10.0000元,201400000,20140000,0,0,合併,每年,股東會,"統一綜合證券股份有限公司","02-27478266","台北市松山區東興路8號B1樓","勤業眾信聯合會計師事務所","黃秀椿","吳世宗","BEDDING WORLD","No.88, Sec. 1, Jiuzong Rd., Neihu DistTaipei City 114, Taiwan (R.O.C.)","02-87928554","cservice@beddingworld.com.tw","www.beddingworld.com.tw","－","－","－","－","www.beddingworld.com.tw","－"
"2940","歐都納股份有限公司","歐都納","運動休閒","－","彰化縣埤頭鄉大湖村彰水路二段400號","	59112564","程鯤","吳雪敏","吳雪敏","總經理","蔡佳君","04-23583456","1975/03/27","2025/05/05",新台幣                 10.0000元,251842690,25184269,0,0,合併,每年,董事會,"中國信託商業銀行代理部","02-66365566","台北市重慶南路一段83號5樓","安永聯合會計師事務所","黃宇廷","賴書晨","SUNOWN","No.400, Sec. 2, Zhangshui Rd., Pitou Township,Changhua County 523, Taiwan (R.O.C.)","04-23588609","atunas001@mail.atunas.com.tw","http://www.atunas.com.tw/","－","－","－","－","http://www.atunas.com.tw/","－"
"2942","京站實業股份有限公司","京站","居家生活","－","台北市大同區承德路一段1號","	28710621","林怡均","王大政","陳岱慧","協理","薛振宇","(02)2182-8888","2007/09/20","2018/03/31",新台幣                 10.0000元,600000000,60000000,0,0,合併,每年,股東會,"凱基證券股份有限公司","(02)2389-2999","台北市重慶南路一段2號5樓","勤業眾信聯合會計師事務所","方涵妮","楊清鎮","Jing-Jan","No.1, Sec. 1, Chengde Rd., Datong Dist.,Taipei,Taiwan,R.O.C.","(02)2555-1399","louisa@qsquare.com.tw","http://www.qsquare.com.tw/","－","－","－","－","https://jing-jan.com.tw/is/stakeholder/","－"
"3097","拍檔科技股份有限公司","拍檔","電腦及週邊設備業","－","新北市中和區建八路206號2樓","	23622986","陳其宏","王保鋅","王保鋅","總經理","劉銘哲","29188500","1990/02/21","2002/08/02",新台幣                 10.0000元,750856050,75085605,0,0,合併,每年,董事會,"富邦綜合證券(股)公司股務代理部","(02)2361-1300","台北市100中正區許昌街十七號十一樓","安侯建業聯合會計師事務所","高靚玟","尹元聖","PTT　","2F., No. 206, Jian 8th Rd., Zhonghe Dist., New Taipei City 235SHIN TIEN,TAIPEI,TAIWAN,R.O.C.　","29112344","stock_affairs@partner.com.tw","partnertechcorp.com","－","－","－","－","partnertechcorp.com","－"
"3117","年程科技股份有限公司","年程","電子零組件業","－","326桃園市楊梅區高獅路820之1號(聯絡地:高獅路863巷32號)","	89379218","薛維進","薛志豪","傅從芳","經理","黃曉娟","(03)4962286","1995/04/13","2012/08/31",新台幣                 10.0000元,228000000,22800000,0,0,合併,每年,股東會,"第一金證券股份有限公司","(02)2563-5711","10688台北市大安區安和路一段27號6樓","安永聯合會計師事務所","陳國帥","林政緯","TECSTAR　　","NO.32 , Lane 863,Kou Shin Rd., Yang Mei 　Taoyuan , Taiwan , R.O.C　　","(03)4962285","tecstar@tecstar.com.tw","www.tecstar.com.tw","－","－","－","－","www.tecstar.com.tw","－"
"3184","微邦科技股份有限公司","微邦","生技醫療業","－","桃園市八德區茄苳里1鄰茄苳路756號","	97454724","李欣","劉天來","劉天來","總經理","洪珮瑩","(03)376-7555","1997/05/12","2013/04/18",新台幣                 10.0000元,630744770,63074477,0,0,合併,每年,股東會,"凱基證券股份有限公司","(02)2389-2999","台北市重慶南路一段2號5樓","安永聯合會計師事務所","張巧穎","張正道","MBTC　","No.756, Jiadong Rd.Bade Dist, Taoyuan City, Taiwan","(03)376-7557","mktcom@microbasetech.com","https://microbasetech.com/","－","－","－","－","https://microbasetech.com/","－"
"3473","智通聯網科技股份有限公司","智通聯網","通信網路業","－","新竹市科學園區展業一路9號5樓之3","	16843870","李怡德","李怡德","李珮莉","協理","葉慧如","03-5638889","1999/05/14","2025/08/11",新台幣                 10.0000元,225114750,22511475,0,0,個別,每年,董事會,"群益金鼎證券(股)公司股務代理部","02-27035000","台北市大安區敦化南路二段97號B2","安侯建業聯合會計師事務所","吳俊源","鄭安志","Fiber Logic","5F-3, No.9,Zhanye 1st Rd.,East Dist.,Hsinchu City 300,TaiwanHsinchu, Taiwan R.O.C.","03-5638899","investor@fiberlogic.com","www.fiberlogic.com","－","－","－","－","www.fiberlogic.com","www.fiberlogic.com"
"3485","敘(余+卜+又)豐企業股份有限公司","敘豐","光電業","－","(334) 桃園市八德區茄苳路７６０巷１６號","	84995500","周政均","杜松穎","杜松穎","總經理","蕭雅娟","(03)3646445","1994/07/13","2012/09/28",新台幣                 10.0000元,341918500,34191850,0,0,合併,每年,股東會,"群益金鼎證券股份有限公司","(02)27023999","台北市敦化南路二段97號B2","勤業眾信聯合會計師事務所","洪偉倫","虞成全","EF","NO.16,  LANE 760,  JIA DUNG ROAD.,Bade Dist.,Taoyuan City, TAIWAN, R.O.C","(03)3764060","service@efm.com.tw","https://www.efm.com.tw/","－","－","－","－","https://www.efm.com.tw/","－"
"3585","聯致科技股份有限公司","聯致","電子零組件業","－","(338)桃園市蘆竹區南山路二段498-2號","	16742182","李長明","陳福龍","蘇連芳","財會主管","鄧惠文","03-3246000","1998/09/15","2007/10/25",新台幣                 10.0000元,1116786240,111678624,0,0,合併,每年,股東會,"宏遠證券股份有限公司股務代理部","(02) 77198899","台北市信義路四段236號3樓","資誠聯合會計師事務所","林雅慧","王菘澤","AMC","498-2, Nan San Rd., Sec. 2, Luchu,Taoyuan Hsien, Taiwan","03-3247000","tim@amcorp.com.tw","http://www.amcorp.com.tw","－","－","－","－","http://www.amcorp.com.tw","－"
"3595","山太士股份有限公司","山太士","光電業","－","(302)新竹縣竹北市沿河街28巷158號","	89716605","吳學宗","張師誠","吳學宗","董事長","廖偉志","03-5550999","1995/10/03","2007/11/16",新台幣                 10.0000元,339132820,33913282,0,0,合併,每年,股東會,"台新證券股務代理部","(02)25048125","台北市建國北路一段96號地下一樓","致遠聯合會計師事務所","曾瓊慧","曾瑞燕","AMC","No.158, Lane 28, Yanhe St.,Zhubei City, Hsinchu County 302,Taiwan","03-5551717","phill@amctape.com","http://www.amctape.com","－","－","－","－","http://www.amctape.com","－"
"3603","建祥國際股份有限公司","建祥國際","電子通路業","－","(242)新北市新莊區五權一路3號之4","	80337786","陳銘銓","陳銘銓","陳銘銓","董事長","曾麗玉","02-22983377","2002/07/04","2008/01/09",新台幣                 10.0000元,248442640,24844264,0,0,合併,每年,股東會,"群益金鼎證券股份有限公司","02-27023999","106台北市大安區敦化南路二段97號B2","廣信益群聯合會計師事務所","彭(系秀)娟","梁宏瑋","UC&GN","No.3-4, Wuquan 1st Rd., Xinzhuang Dist.,New Taipei City 242, Taiwan (R.O.C.)","02-22980077","ir@uc-gn.com","http://www.uc-gn.com","－","－","－","－","?L","－"
"3616","泓辰材料股份有限公司","泓辰","電機機械","－","(326)桃園市平鎮區工業一路2之3號","	12887215","陳宏力","陳宏力","黃思涵","業務經理","陳玉靜","(03)4191222","2001/08/21","2024/11/06",新台幣                 10.0000元,946495800,94649580,0,0,合併,每年,股東會,"元大證券股份有限公司","(02)2586-5859","臺北市大安區敦化南路2段67號地下一樓","聯捷聯合會計師事務所","詹定勳","黃珮樺","HCM","No.2-3, Gongye 1st Rd., Pingzhen Dist., Taoyuan City 32461, TaiwanTaoyuan County 326,Taiwan","(03)4192333","invest@hcmaterial.com.tw","www.hcmaterial.com.tw/","－","－","－","－","www.hcmaterial.com.tw/","－"
"3633","云光科技股份有限公司","云光","光電業","－","302新竹縣竹北市新泰路35號5樓之1","	16177616","許家滂","許家滂","徐鈺雯","經理","許富雄","03-5545488","1997/11/13","2008/08/06",新台幣                 10.0000元,340236430,34023643,0,0,合併,每年,股東會,"群益金鼎證券股份有限公司","02-2702-3999","台北市敦化南路二段97號地下2樓","安侯建業聯合會計師事務所","鄒依芸","韓沂璉","ECC","5-1F,No.35, Hsin-Tai Rd.Chupai City, Hsinchu Hsien, Taiwan(302)","03-5545489","wennyhsu@epoch-optic.com","http://www.epoch-optic.com/","－","－","－","－","http://www.epoch-optic.com/investor.php","－"
"3659","百辰光電股份有限公司","百辰","光電業","－","114062台北市內湖區瑞光路26巷20弄28號3樓","	80493934","賴孟修","林百祁","曾繁宜","協理","何宜芳","02-6600-6610","2003/07/07","2009/10/19",新台幣                 10.0000元,541238380,54123838,0,0,合併,每年,董事會,"台新證券股務代理部","02-25048125","104496台北市建國北路一段96號地下一樓","安侯建業聯合會計師事務所","許淑敏","郭柔蘭","Bison","3F., No.28, Aly. 20, Ln. 26, Ruiguang Rd., Neihu DistTaipei City 114062, Taiwan (R.O.C.)","02-6600-6617","otto_tseng@bisontech.com.tw","http://www.bisontech.com.tw","－","－","－","－","http://www.bisontech.com.tw/investors.html","－"
"3678","聯享光電股份有限公司","聯享","光電業","－","302新竹縣竹北市環北路三段199號","	12767387","賴俊光","賴俊光","黃淑美","副總經理","甘國忠","03-6561668","2001/03/19","2009/10/22",新台幣                 10.0000元,264220000,26422000,0,0,個別,每年,董事會,"中國信託商業銀行代理部","02-66365566","100台北市中正區重慶南路一段83號5樓","勤業眾信聯合會計師事務所","葉東煇","張雅芸","Ushine","No.199, Sec. 3, Huanbei Rd.Zhubei City, Hsinchu 302, Taiwan, R.O.C.","03-6561568","fin@ushine.com.tw","www.ushine.com.tw","－","－","－","－","www.ushine.com.tw","－"
"4115","善德生化科技股份有限公司","善德生技","生技醫療業","－","雲林縣褒忠鄉中民村中正路16號","	16549813","胡智凱","胡智凱","陳明政","稽核室經理","郭怡芬","(05)6976985","1998/07/16","2022/08/31",新台幣                 10.0000元,600000000,60000000,0,0,合併,每年,股東會,"元大證券股份有限公司","(02)25865859","臺北市大安區敦化南路2段67號地下一樓","勤業眾信聯合會計師事務所","吳少君","吳麗冬","SUNDER　　","No.16, Chung-Chen Rd., Chung-Ming Village, Pao-Chung HsiangYunlin County 63441, Taiwan (R.O.C.)","(05)6976986","kenny@sunder.com.tw","http://www.sunder.com.tw","－","－","－","－","NA","－"
"4117","普生股份有限公司","普生","生技醫療業","－","(30076)新竹科學園區創新一路6號","	47299918","林宗慶","林孟德","林孟德","總經理","施金妹","(03)5779221","1984/06/11","2002/07/04",新台幣                 10.0000元,708243700,70824370,10000000,0,合併,每年,股東會,"兆豐證券股份有限公司","(02)3393-0898","台北市忠孝東路二段95號1樓","資誠聯合會計師事務所","劉倩瑜","李典易","GBC","#6,INNOVATION FIRST ROAD,SCIENCE-BASED PARK,HSIN CHU,TAIWAN,R.O.C","(03)5779227","frank.lin@gbc.com.tw","www.gbc.com.tw","－","－","－","－","www.gbc.com.tw","－"
"4132","國鼎生物科技股份有限公司","國鼎","生技醫療業","－","新北市淡水區中正東路2段27-6號15樓","	80280616","劉勝勇","蔡文建","林國聖","財務長","葉燦舉","(02)2808-6006","2002/09/27","2010/05/26",新台幣                 10.0000元,1822270000,182227000,0,0,合併,每年,股東會,"中國信託商業銀行股份有限公司","(02)6636-5566","臺北市中正區重慶南路1段83號5樓","安侯建業聯合會計師事務所","寇惠植","郭欣頤","GBC","15F., NO.27-6, Sec.2, Zhung Zheng E. Rd., Tamsui Dist., New Taipei City.New Taipei, Taiwan","(02)2808-6007","service@goldenbiotech.com","www.goldenbiotech.com","－","－","－","－","beijing@goldenbiotech.com","－"
