"公司代號","公司名稱","住址","縣市別","產業類別","推薦或出具創新創意意見書單位","營利事業統一編號","董事長","總經理","發言人","發言人職稱","代理發言人","總機電話","成立日期","登入創櫃板日期","實收資本額(元)","股票過戶機構","過戶電話","過戶地址","英文簡稱","英文通訊地址","傳真機號碼","電子郵件信箱","網址"
"7425","膳安國際股份有限公司","台北市中山區中山北路一段85號10樓","臺北市","生活健康","無","	53766290","孟憲鎧","劉彥平","孟憲鎧","董事長","劉彥平","25116868","2012/05/14","2014/06/30",70199100,"凱基證券股份有限公司","23892999","台北市重慶南路一段2號5樓","Shan Ann","10F., No. 85, Sec. 1, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104, Taiw10F., No. 85, Sec. 1, Zhongshan N. Rd.,","25116866","foodforhealth.ser@gmail.com","http://www.foodforhealth.com.tw/"
"7428","戴維科技股份有限公司","新北市五股區五權六路31號1樓","新北市","電子科技","新北市政府","	28110957","徐正群","黃國文","徐正群","董事長","張麗萍","02-22901268","2006/03/10","2014/06/13",96738000,"台新綜合證券股份有限公司","0225048125","台北市建國北路一段96號B1","Davidstar","1F., No.31, Wuquan 6th Rd., Wugu Dist.,New Taipei City 24889, Taiwan R.O.C.","02-22988357","hannah@davidstar.com.tw","www.pcbshop.org/tw/supplier/index.asp?SupID=789"
"7449","元皓能源股份有限公司","新北市新店區中興路二段196號2樓","新北市","電子科技","新北市政府","	24379192","吳志賢","吳志賢","吳志賢","總經理","吳少暉","02-86650966","2009/03/31","2014/12/26",93863130,"第一金證券股份有限公司","02-25635711","台北市大安區安和路一段27號六樓","DIGISINE","2F., No.196,Sec Zhongxing Rd., Xindian Dist.New Tpiapei city 231,Taiwan (R.O.C.)","02-86650957","david@digimaxproducts.com","www.digisine.com.tw"
"7450","那米亞發酵股份有限公司","桃園市蘆竹區內厝里長興路三段229巷53號","桃園市","生技醫療","行政院農業委員會","	53599548","邱明熙","邱明熙","邱明熙","總經理","邱明熙","03-3246508","2011/09/05","2014/12/15",194331080,"凱基證券股份有限公司","02-23892999","台北市中正區重慶南路一段2號5樓","LFI","NO,53 Lu 229.Sec.3,Changxing Rd.,Luzhu Township,Taoyuan County 338,Taiwan","03-3246510","politeamy@Lemnaceae.com.tw","www.lemnaceae.com"
"7451","頂豪生活科技股份有限公司","新北市新店區民權路117號10樓","新北市","生技醫療","新北市政府","	29147762","谷柏濤","谷柏濤","谷柏濤","總經理","陳苑伊","02-86672878","2010/04/09","2014/12/31",72000000,"群益金鼎證券股份有限公司","02-27023999","10601台北市大安區敦化南路二段97號B2","MW","10F., No.117, Minquan Rd., Xindian Dist.,New Taipei City 23141, Taiwan","02-86673686","sales@lecasserole.com","www.metalware.com.tw"
"7457","月太湛生物科技股份有限公司","高雄市鼓山區文信路333號13樓","高雄市","生技醫療","生物技術開發中心","	24525907","陳丘泓","王家燕","王家燕","總經理","陳瑋琪","07-5500256","2010/10/13","2014/12/29",23783910,"元富證券股份有限公司","02-27686668","台北市松山區光復北路11巷35號地下一樓","PeptideCham","13F., No. 333, Wenxin RdGushan Dist., Kaohsiung City 804, Taiwan","07-5524989","service@peptidecham.com","http://www.peptidecham.com"
"7485","福倫交通股份有限公司","台北市信義區松隆路337號1樓","臺北市","社會企業","臺北市政府","	31095184","吳俊德","吳俊德","吳俊德","董事長","薛開雯","02-27458688","1978/10/11","2015/12/15",80000000,"永豐金證券股份有限公司","02-23816288","100台北市中正區博愛路17號3樓","Fu Lun","No.337, Songlong Rd., Xinyi Dist.Taipei City 11087, Taiwan (R.O.C.)","02-27479767","successtaxi@gmail.com","http://www.fuluntaxi.com.tw/"
"7487","同仁康拓生物科技股份有限公司","新北市新店區二十張路25巷18弄35號1樓","新北市","生技醫療","中國生產力中心","	80193280","張澍平","張維哲","張澍平","董事長","張維哲","(02)2917-8008","2003/05/16","2015/12/28",210702020,"福邦證券股份有限公司","(02)2371-1658","10041台北市中正區忠孝西路一段6號6樓","TungJen Quantum","1F, No.35, Aly. 18, Ln. 25, Ershizhang Rd.Xindian Dist., New Taipei City, Taiwan","(02)2917-8108","tjhsuperchang@gmail.com","www.tjqbio.com.tw"
"7490","樂群動畫製作股份有限公司","台北市大安區濟南路三段7-1號5樓","臺北市","文化創意","臺北市政府","	28845395","程群","程群","劉芳菁","經理","劉家維","0287735061","2008/02/19","2015/12/30",47880000,"台新綜合證券股份有限公司","(02)2504-8125","台北市中山區建國北路一段96號B1","Joy-Team","5F., No.7-1, Sec. 3, Jinan Rd., Da’an Dist.Taipei City 106, Taiwan (R.O.C.)","0225852059","syeclm25@ms69.hinet.net","http://www.joyteam-animation.com"
"7491","車之輪國際股份有限公司","台南市南區中華西路一段310號","臺南市","其他","臺南市政府","	53631168","陳玉琴","陳玉琴","蔡雨成","管理部經理","","06-2989489*15","2011/11/11","2016/01/06",40500000,"凱基證券股份有限公司","02-23892999","台北市重慶南路1段2號5樓","Carch Land","No. 310, Sec. 1, Zhonghua W. Rd.South Dist., Tainan City 708, Taiwan","06-5110489","z0275@mail.car-no1.com.tw","www.car-no1.com.tw"
"7492","一等一科技股份有限公司","高雄市前鎮區復興四路2號2樓之2","高雄市","電子科技","資訊工業策進會","	28293999","梁家彰","梁家彰","梁家彰","總經理","","(07)970-6789","2006/10/14","2016/01/25",57041120,"群益金鼎證券股份有限公司","(02)2703-5000","台北市大安區敦化南路二段97號B2","Ede","2F.-2, No.2, Fuxing 4th Rd., Qianzhen Dist.,Kaohsiung City 806, Taiwan (R.O.C.)","(07)970-3888","service@edetw.com","http://www.edetw.com/"
"7503","自由系統股份有限公司","臺北市南港區園區街3之2號4樓之1","臺北市","電子科技","資訊工業策進會","	79988938","陳穎儀","俞伯翰","黃凱輝","經理","陳穎儀","02-26550668","2002/06/25","2016/09/08",117680000,"統一綜合證券股份有限公司","02-27478266","台北市松山區東興路8號地下一樓","FREEDOM SYSTEMS","4F-1, No.3-2, Park St., Nangang Dist.,Taipei, Taiwan,R.O.C","02-81924450","sales@freedom.net.tw","www.freedom.net.tw"
"7505","立達軟體科技股份有限公司","臺北市信義區仁愛路4段520之1號7樓","臺北市","電子科技","資訊工業策進會","	27511737","李明達","李明達","李明達","董事長","無","02-27849788","2004/12/13","2016/09/28",80037090,"第一金證券股份有限公司","02-2563-5711","台北市大安區安和路一段27號六樓","LEADERG","7 F., No. 520-1, Sec. 4, Ren'ai Rd., Xinyi Dist.Taipei City 110054, Taiwan (R.O.C.)","02-81927152","leaderg@leaderg.com","https://www.leaderg.com"
"7518","宏泰工業股份有限公司","台南市永康區和平東路79號","臺南市","其他","臺南市政府","	27472592","吳玉國","吳玉國","涂宗源","特助兼財務會計經理","吳玉國","06-2537062","2004/10/20","2017/06/19",61887630,"富邦綜合證券股份有限公司","02-23611300","104台北市中正區許昌街17號2樓","HTI","No.79, Heping East Road, Yong Kang District,Tainan City, 71042, Taiwan, R.O.C","06-2535432","tuty@hung-thai.com.tw","http://www.hung-thai.com.tw/"
"7519","歐思佛生物科技股份有限公司","台中市西屯區中清路三段309號","臺中市","生技醫療","臺中市政府","	28758321","邱惠敏","邱惠敏","邱惠敏","總經理","洪于捷","04-24268188","2008/07/18","2017/06/16",58800000,"富邦綜合證券股份有限公司","02-23611300","台北市中正區許昌街17號11樓","DR. OXFORD","NO.309, SEC.3, ZHONGQING RD., XITUN DIST.,TAICHUNG CITY 40761, TAIWAN (R.O.C)","04-24260233","dr.allforu@gmail.com","www.drallforu.com"
"7520","沛美生醫科技股份有限公司","台中市大里區仁化路361號","臺中市","生技醫療","臺中市政府","	28643784","廖曼華","廖曼華","廖曼華","董事長","黃曉萍","04-24962031","2007/04/14","2017/06/20",67000000,"富邦綜合證券股份有限公司","(02)2361-1300","台北市100中正區許昌街17號11樓","Pemay","No.361,Renhua Rd., Dali Dist.,Taichung City412, Taiwan","04-24963725","pemay888@gmail.com","https://www.twpemay.com/"
"7521","千才生醫股份有限公司","新竹縣竹北市台元街30號3樓之5","新竹縣","生技醫療","工業技術研究院","	54223350","高嵩岳","張新棠","張新棠","總經理","孫英正","03-5525268","2013/03/26","2017/05/25",78000000,"永豐金證券股份有限公司","02-23823302","100台北市中正區博愛路17號3樓","LBI","3F-5, No 30, Taiyuan StreetChupei City, Hsinchu County, Taiwan","03-5525388","bruce@liverage.com.tw","www.lbi.com.tw"
"7525","綠品生物科技股份有限公司","新竹科學園區新竹市科技路5號5樓","新竹市","生技醫療","工業技術研究院","	25093413","謝睿哲","謝睿哲","謝睿哲","董事長","郭婷宜","035772707","2009/12/22","2017/09/20",100000000,"永豐金證券股份有限公司","0223816288","100台北市中正區博愛路17號3樓","eGreen Biotek","5F., No.5, Keji Rd.,East Dist., Hsinchu City 300, Taiwan","035162847","service@egbond.tw","www.egbond.tw"
"7529","台鼎國際科技股份有限公司","台中市后里區舊社路95-20號","臺中市","農林漁牧","農業科技研究院","	80230623","林榮燦","0932-567722","林榮燦","總經理","","04-25585123","2002/08/13","2017/09/01",35100000,"永豐金證券股份有限公司","(02)2382-3379","100台北市中正區博愛路17號3樓","TAIDING","Houli District old community road 95-20Taichung City, Taiwan","04-25585025","dinglish@ms74.hinet.net","www.fruitgo.com.tw"
"7532","華圓設計行銷股份有限公司","台北市忠孝東路1段76號7樓","臺北市","文化創意","無","	42658956","張國傑","張全","張國傑","董事長","鄭邁克","02-23516886","2015/11/04","2017/10/16",20122610,"群益金鼎證券股份有限公司","02-27035000","台北市大安區敦化南路二段97號地下二樓","M.C.A.","7F, No.76,  Sec. 1, Zhongxiao E. Rd.,Taipei,  Taiwan","02-23212384","service@mcaidea.com","www.mcarchimosis.com"
"7534","安博森福祉股份有限公司","桃園市中壢區中華路一段825號1樓","桃園市","社會企業","桃園市政府","	54001364","徐權邁","徐權邁","徐權邁","董事長","陳曉薇","03-4615633","2012/10/25","2017/10/24",11300000,"群益金鼎證券股份有限公司","02-27035000","台北市大安區敦化南路二段97號B2","ANBOSEN","1F., No.825, Sec. 1, Zhonghua Rd.,Zhongli Dist.,Taoyuan City 32068, Taiwan","03-4523062","info@anbosen.com.tw","anbosen.com.tw"
"7536","醫百科技股份有限公司","高雄市路竹區路科五路90號2樓","高雄市","生技醫療","中華民國全國青年創業總會","	28488376","黃大可","黃大可","吳三發","財務長","","07-6955596","2007/04/19","2018/03/12",315392980,"華南永昌綜合證券股份有限公司","02-2718-6425","台北市松山區民生東路四段54號4樓","EPED","2F.,90,Luke 5th Road,Luzhu DistKaohsiung City ,Taiwan,R.O.C.","07-6955579","mana.admin@eped.com.tw","www.epedmed.com"
"7539","鐵碳企業股份有限公司","台中市梧棲區中港加工出口區經一路20號","臺中市","其他","國立中興大學、經濟部加工出口區","	23291070","陳隆志","陳隆志","林良莉","副董事長","","04-26595889","1989/04/04","2018/02/01",150000000,"台新綜合證券股份有限公司","02-25048125","台北市建國北路一段96號B1","FERRO-CARBON","NO.20,JING 1ST RD., CHUNGKANG EXPORT PROCESSING ZONE WUQI DIST.,TAICHUNG CITYTAIWAN","04-26595882","service@feca.com.tw","www.feca.com.tw"
"7541","富聯智科股份有限公司","高雄市岡山區本工五路62號","高雄市","電子科技","高雄市政府","	23342129","吳榮富","吳榮富","吳榮富","董事長","王美娥","07-6236001","1989/09/15","2018/03/29",76300000,"福邦證券股份有限公司","02-23711658","台北市中正區忠孝西路一段6號6樓","Full Link","No.62, Bengong 5th Rd., Gangshan Dist., Kaohsiung City 820, Taiwan (R.O.C.)Kaohsiung City 820, Taiwan (R.O.C.)","07-6235583","fulllink@smart-fulllink.com","www.smart-fulllink.com"
"7542","宥盛科技股份有限公司","台南市六甲區和平街185-7號","臺南市","生技醫療","臺南市政府","	25059132","洪櫻桃","洪櫻桃","洪櫻桃","董事長","楊智凱","066995208","2009/10/28","2018/04/30",99638180,"群益金鼎證券股份有限公司","0227035000","台北市大安區敦化南路二段97號B2","YOSUN","No.185-7, Heping St., Liujia Dist.,Tainan City 734, Taiwan (R.O.C.)","066988178","info@yo-sun.com.tw","www.yo-sun.com.tw"
"7543","富宸自動科技股份有限公司","台中市西屯區工業41路27號","臺中市","其他","臺中市政府","	29089756","徐緯祥","管彥鈞","徐緯祥","董事長","管彥鈞","04-23592909","2008/05/08","2018/04/20",11000000,"富邦綜合證券股份有限公司","02-25419977","","FC","No.27, Gongyequ 41st Rd., Xitun Dist.,Taichung City 407, Taiwan (R.O.C.)","04-23595352","FUCHEN@Fuchen-Auto.com","hhttp://www.fuchen-auto.com/"
"7545","台邦企業股份有限公司","臺中市東區新庄里復興路四段82號9樓","臺中市","數位雲端","臺中市政府","	54758207","劉制軍","劉制軍","薛淑瑜","財務主任","","04-22291111","2014/03/31","2018/05/21",15000000,"富邦綜合證券股份有限公司","(02)2361-1300","台北市中正區許昌街17號11樓","TBM","","04-22856453","service@ekingdom.com.tw","https://www.ekingdom.com.tw/"
"7546","綠野馬術股份有限公司","新北市淡水區淡海路298號","新北市","文化創意","新北市政府","	27578223","蔣漢儒","蔣漢儒","蔣漢儒","總經理","蔣佳穎","02-28058189","2005/04/06","2018/06/04",17800000,"元富證券股份有限公司","02-2768-6668","105 台北市松山區光復北路11巷35號B1","BCRC","No298,Danhai Rd,Tamsui DistNew Taipei City251,Taiwan(ROC)","02-28055914","accounting@luyehorsel.com","http://www.luyehorse.com"
"7548","偉喬生醫股份有限公司","臺南市永康區正北一路147巷9號","臺南市","生技醫療","成功大學研究總中心","	29185147","莊詠鈞","鄭又瑋","謝應裕","發言人","","06-2536677","2013/03/20","2018/07/16",205234950,"元大證券股份有限公司","02-2586-5859","106臺北市大安區敦化南路2段67號B1","Leadgene","No.9, Ln.147, Zhengbei 1st Rd., Yongkang Dist.,Tainan City, Taiwan","06-2531536","info@leadgene.com.tw","www.leadgenebio.com"
"7554","十鼓文創股份有限公司","臺南市仁德區成功里文華路二段326號","臺南市","文化創意","文化部","	27906485","謝十","","黃美智","行銷總監","范博棠","(06)266-2225","2008/09/30","2018/10/25",101460000,"台新綜合證券股份有限公司","02-25048125","台北市中山區建國北路一段96號B1","TEN DRUM","No.326, Sec. 2, Wenhua Rd., Rende Dist.,Tainan City 717, Taiwan (R.O.C.)","(06)266-1413","tenpc@ms43.hinet.net","https://tendrum.com.tw/TpHome/zt"
"7557","牧陽能控股份有限公司","台南市歸仁區歸仁十三路1段6號2樓","臺南市","綠能環保","成功大學研究總中心","	54075581","曾偉","曾偉","曾偉","總經理","","06-5121698","2013/04/29","2018/08/24",166489500,"福邦證券股份有限公司","02-2371-1658","臺北市中正區忠孝西路一段6號6樓","Green Shepherd","2F., No. 6, Sec. 1, Guiren 13th Rd., Guiren Dist.,Tainan City 711010, Taiwan","06-2083985","gs@greenshepherd.com.tw","www.greenshepherd.com.tw"
"7564","渥爾生醫科技股份有限公司","嘉義市東區大雅路一段368巷50弄6號1樓","嘉義市","生技醫療","臺南市政府","	45898493","簡士智","簡士智","簡士智","董事長兼總經理","林宏光","05-2763797","2016/08/16","2019/01/23",33721000,"群益金鼎證券股份有限公司","02-27035000","台北市大安區敦化南路二段97號B2","WBT","1F., No.6, Aly. 50, Ln. 368, Sec. 1, Daya Rd., East Dist.,Chiayi City 600, Taiwan (R.O.C.)","05-2757394","caplockceramic@gmail.com","https://wow-dent.com/"
"7568","邦柏智慧科技股份有限公司","彰化縣彰化市埔內街411巷101號2樓","臺北市","電子科技","虎尾科技大學產學合作及服務處","	54861743","卓政懋","卓政懋","卓政懋","董事長","","047112768","2015/08/11","2019/05/16",51700000,"第一金證券股份有限公司","0225419977","台北市大安區安和路一段27號6樓","Bumper","2 F., No. 101, Ln. 411, Punei St., Changhua City,Changhua County 500024, Taiwan (R.O.C.)","","official@bumper.com.tw","http://www.bumper.com.tw/"
"7569","發條橘子科技股份有限公司","台中市烏日區高鐵五路156號10樓之3","臺中市","數位雲端","臺中市政府","	53622870","陳旻宏","陳旻宏","陳旻宏","董事長","無","04-23377999","2011/10/25","2019/07/08",58745710,"富邦綜合證券股份有限公司","02-2361-1300","台北市中正區許昌街17號11樓","CW Orange","10F.-3, No. 156, Gaotie 5th Rd., Wuri Dist.,Taichung City 414, Taiwan (R.O.C.)","04-23377091","service@clockworkorange.com.tw","www.clockworkorange.com.tw"
"7571","睿創設計整合室內裝修(股)公司","台北市信義區忠孝東路5段510號15樓之2","臺北市","文化創意","資訊工業策進會","	52465633","郭仁貴","郭仁貴","周貴貞","財務經理","楊美玉","02-27971333","2016/12/01","2019/08/13",90129060,"群益金鼎證券股份有限公司","02-27035000","10601台北市大安區敦化南路二段97號B2","REDTRON DESIGN","2nd Floor, No.510, Section 5, Zhongxiao East Road, Xinyi DistrictTaipei City, Taiwan (R.O.C.)","02-27960260","info@redtron.tw","http://www.redtron.tw/"
"7572","好食股份有限公司","台南市永康區中正二街408號","臺南市","農林漁牧","臺南市政府","	54562793","鄒淵翔","鄒淵翔","張永翰","張永翰","","06-2532880","2014/07/09","2019/10/22",61750000,"富邦綜合證券股份有限公司","(02)2361-1300","100415台北市中正區許昌街17號11樓","Agri-Optech","No.408, Zhongzheng 2nd St., Yongkang Dist.,Tainan City 710, Taiwan (R.O.C.)","06-2533980","bryan.chang@agri-optech.com","https://www.sooth-road.com/"
"7573","高曼計量財務管理顧問(股)","台北市松山區復興北路73號11樓","臺北市","其他","資訊工業策進會","	42631578","林敬倫","林敬倫","林敬倫","總經理","","23886886","2015/08/13","2019/07/11",101231070,"統一綜合證券股份有限公司","27478266","台北市松山區東興路八號B1","GP Research","11F., No. 73, Fuxing N. Rd., Songshan Dist.,Taipei City 105, Taiwan","23886886","info@gammaparadigm.com","https://gammaparadigm.com/"
"7574","元健大和直販事業股份有限公司","新北市新店區中興路二段196號2樓","新北市","生技醫療","中國生產力中心","	24379144","吳少暉","張源安","吳少暉","董事長","張源安","02-86650966","2009/03/31","2019/07/31",167187790,"第一金證券股份有限公司","02-25635711","台北市大安區安和路一段27號六樓","DIGIBIONIC","2F., No.196,Sec Zhongxing Rd., Xindian Dist.New Tpiapei city 231,Taiwan (R.O.C.)","02-86650957","vp6@digibionic.com","https://www.digibionic.com/"
"7576","丰丹嚴選本舖股份有限公司","台中市南屯區大業路277號","臺中市","其他","臺中市政府","	54740919","陳蓓琴","陳蓓梅","陳蓓梅","總經理","陳蓓琴","04-2328-2789","2013/12/28","2019/10/30",14350000,"第一金證券股份有限公司","02-25635711","台北市大安區安和路一段27號六樓","FONG DEN","No. 277, Daye Rd., Nantun Dist., Taichung City 408, Taiwan (R.O.C.)Republic of China (Taiwan),Taichung City","04-23286978","fongden0713@gmail.com","www.fongden.com"
"7577","精彩創意整合行銷股份有限公司","臺北市信義區基隆路二段77號7樓之3、7樓之6","臺北市","文化創意","臺北市政府","	53135371","胡恒士","胡恒士","曾子珊","副總經理","","02-2325-8178","2010/08/09","2019/11/08",56800000,"凱基證券股份有限公司","02-2389-2999","台北市中正區重慶南路一段2號4樓","Amazing","7F.-6,7F-3, No. 77, Sec. 2, Keelung Rd., Xinyi Dist.,Taipei City 110605, Taiwan (R.O.C.)","02-2325-8198","service@amazing888.com.tw","www.amazing888.com.tw"
"7580","環虹錕騰科技股份有限公司","高雄市前鎮區新衙路286-8號7樓之1","高雄市","農林漁牧","行政院農業委員會","	54635888","曾弘義","曾煜安","曾煜安","總經理","","07-8152100","2014/07/09","2020/01/21",180500000,"凱基證券股份有限公司","(02)2389-2999","台北市中正區重慶南路一段2號5樓","HQT","7F-1, No.286-8, Xinya Rd., Qianzhen Dist.,Kaohsiung City Taiwan","07-8152110","info.hyperquantum.com.tw","www.hyperquantum.com.tw"
"7587","環球睿視股份有限公司","台北市內湖區內湖路1段314號5樓之1","臺北市","電子科技","臺北市政府","	52207410","蘇育民","白檸瑤","蘇育民","CEO","","02-87515176","2016/08/18","2020/05/18",115500000,"永豐金證券股份有限公司","","","Ubestream","5F.-1, No. 314, Sec. 1, Neihu Rd., Neihu Dist.Taipei, Taiwan","","service@ubestream.com","https://ubestream.com"
"7588","巨力搬家貨運股份有限公司","高雄市前鎮區一心二路21號十樓之1","高雄市","生活健康","資訊工業策進會","	27967124","許吉任","許吉任","許吉任","董事長","","(07)359-2001","2005/11/04","2020/07/08",28500000,"群益金鼎證券股份有限公司","(02)2703-5000","台北市大安區敦化南路二段97號地下二樓","Giant Power","10 F.-1, No. 21, Yixin 2nd Rd., Qianzhen Dist.Kaohsiung City 806, Taiwan (R.O.C.)","(07)359-2115","cad.gp@movehome.com.tw","https://www.movehome.com.tw/"
"7589","優思國際品牌股份有限公司","臺北市中山區南京東路二段101號11樓","臺北市","文化創意","臺中市政府","	54103377","陳袽琪","陳袽琪","陳袽琪","總經理","楊景淳","04-22543553","2012/12/14","2020/06/09",16600000,"永豐金證券股份有限公司","02-2381-6288","台北市中正區博愛路17號3樓","Yours","11F., No. 101, Sec. 2, Nanjing E. Rd., Zhongshan Dist.,TAIPEI CITY TAIWAN (R.O.C.)","04-22542995","finance@yours.net.tw","http://design.yours.net.tw/"
"7591","多利生醫股份有限公司","台北市松山區南京東路3段287號7樓","臺北市","生技醫療","無","	80534604","孫文崇","孫文崇","陳琍華","財務長","李麗貞","02-77071289","2003/10/28","2020/12/23",204000000,"群益金鼎證券股份有限公司","02-27035000","台北市大安區敦化南路2段97號B2","TOTALEE","7F., No.287, Sec.3, Nanjing E. Rd., Songshan Dist.,Taipei City 105405, Taiwan(R.O.C.)","02-77073811","totalee@totalife.com.tw","http://www.totalee.com.tw"
"7592","台灣艾思特科技股份有限公司","台中市潭子區潭秀里建國路17-1號","臺中市","生技醫療","經濟部加工出口區管理處","	70849231","吳鵬傑","林恩琪","林采潔","財務主管","林恩琪","04-25348000","2006/05/10","2020/11/18",69921670,"元大證券股份有限公司","(02)2586-3117","103台北市大安區敦化南路2段67號地下一樓","AST","NO.17-1, JIANGUO RD., TANZI DIST.,TAICHUNG CITY 427, TAIWAN (R.O.C.)","04-25348123","service@tast.com.tw","http://www.tast.com.tw/"
"7593","優思睿智科技股份有限公司","新北市中和區橋和路23號8樓","新北市","電子科技","新北市政府","	42702067","周昱志","周昱志","周昱志","總經理","戴子棋","02-2959-9766","2016/01/06","2020/11/20",13570120,"凱基證券股份有限公司","(02)2389-2999","100台北巿中正區重慶南路一段2號5樓","u-Smart Tech.","8F, No. 23, Qiaohe Rd., Zhonghe Dist., New Taipei City 235029, Taiwan","02-2959-9700","sales@u-smarttech.com","www.u-smart.com.tw"
